Kind,Name,AvgLineCode,Cyclomatic,PercentLackOfCohesionModified,PercentLackOfCohesion,SumCyclomatic,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,ProxiedObjectPool.java,4,,,,11,1,1,1,1,5,0,0,,,,1,0,0,10,,10,10,2,10,,0,0,0,10,,126,25,65,35,24,36,,,,29,41,23,18,,,,,2,2,2,1,,,1,,0.55,11,11,10
File,ProxySource.java,0,,,,0,0,0,0,0,0,0,0,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,51,4,6,5,0,41,,,,4,5,5,0,,,,,0,0,0,0,,,0,,6.83,0,0,0
Public Class,ReaderUtil,14,,0,0,8,4,4,4,2,17,0,2,1,1,0,,0,0,,,,2,1,2,2,0,0,0,2,,43,3,32,6,19,8,,,,12,20,6,14,,,,,7,7,7,3,,1,2,,0.25,8,8,4
Public Constructor,ReaderUtil.ReaderUtil(ObjectPool<StringBuffer>),,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,0,,,,,0,,0,0,0,1,1,1
File,ReaderUtil.java,14,,,,8,4,4,4,2,17,0,2,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,71,7,35,9,19,29,,,,15,23,9,14,,,,,7,7,7,3,,,2,,0.83,8,8,4
Public Method,ReaderUtil.readToString(Reader),,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,5,31,0,26,3,18,5,7,14,1,10,16,3,13,7,7,3,7,,,,,3,,2,3,0.19,7,7,3
Public Class,ReaderUtilClient,9,,0,0,2,2,2,2,1,9,0,0,1,3,0,,1,0,,,,0,0,1,1,0,0,0,1,,16,1,11,4,6,4,,,,4,7,4,3,,,,,2,2,2,1,,1,1,,0.36,2,2,1
File,ReaderUtilClient.java,9,,,,2,2,2,2,1,9,0,0,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,45,5,15,8,6,25,,,,8,11,8,3,,,,,2,2,2,1,,,1,,1.67,2,2,1
Public Static Method,ReaderUtilClient.main(String[]),,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,9,3,6,0,5,2,0,4,6,3,3,2,2,1,1,,,,,0,,1,0,0,2,2,1
File,SecurityManagerCallStack.java,7,,,,12,1,1,1,1,9,0,2,,,,4,0,0,7,,7,7,6,7,,0,2,0,5,,129,11,70,31,28,48,,,,34,51,31,20,,,,,4,4,4,1,,,1,,0.69,12,12,7
File,SleepingObjectFactory.java,4,,,,11,1,1,1,1,5,0,0,,,,1,0,0,9,,9,9,2,9,,0,2,0,7,,90,13,55,23,23,22,,,,24,36,18,18,,,,,2,2,2,1,,,1,,0.4,11,11,9
File,SoftReferenceObjectPool.java,13,,,,46,3,3,3,1,23,0,9,,,,1,0,0,15,,15,15,7,15,,0,4,1,10,,453,32,239,63,150,189,,,,114,162,50,112,,,,,9,9,10,3,,,4,,0.79,46,50,17
Public Class,StringBufferFactory,3,,0,0,3,1,1,1,1,5,0,2,1,2,0,,0,0,,,,3,0,3,12,0,0,0,3,,30,4,15,8,3,11,,,,3,7,4,3,,,,,1,1,1,1,,3,0,,0.73,3,3,3
Public Method,StringBufferFactory.create(),,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,0,,,,,0,,0,0,0,1,1,1
File,StringBufferFactory.java,3,,,,3,1,1,1,1,5,0,2,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,57,7,18,11,3,32,,,,6,10,7,3,,,,,1,1,1,1,,,0,,1.78,3,3,3
Public Method,StringBufferFactory.passivateObject(PooledObject<StringBuffer>),,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,2,1,0,1,2,1,1,1,1,1,0,,,,,0,,0,0,1,1,1,1
Public Method,StringBufferFactory.wrap(StringBuffer),,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,2,1,0,1,2,1,1,1,1,1,0,,,,,0,,0,0,1,1,1,1
File,SwallowedExceptionListener.java,0,,,,0,0,0,0,0,0,0,0,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,36,2,4,3,0,30,,,,2,3,3,0,,,,,0,0,0,0,,,0,,7.5,0,0,0
File,TestAbandonedObjectPool.java,8,,,,44,1,1,1,1,11,0,2,,,,5,0,1,28,,28,28,10,28,,0,0,0,28,,428,51,295,108,172,95,,,,178,228,95,133,,,,,7,7,7,1,,,2,,0.32,44,44,28
File,TestBaseGenericObjectPool.java,7,,,,6,1,1,1,1,7,0,0,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,77,9,50,20,27,19,,,,34,41,17,24,,,,,2,2,2,1,,,1,,0.38,6,6,5
